course_id,course_name,difficulty,description,learning,tags,Average rating,Number of reviews,Popularity
IT3PAM_108,Introduction to 3D Printing and Modeling,Beginner,"This beginner-level course introduces 3D printing and modeling. Learn about 3D design, modeling software, and the 3D printing process.","Understand the basics of 3D printing and its applications.
Learn 3D modeling using software like Tinkercad or Blender.
Explore the 3D printing process from design to printing.
Create 3D-printable models and objects.","['3D printing', 'beginner', '3D modeling', 'Tinkercad', 'Blender']",3.0,8,Medium
CBP_29,Cybersecurity Best Practices,Intermediate,"This intermediate-level course focuses on cybersecurity best practices. Learn about threat detection, risk assessment, and security measures to protect digital assets.","Identify common cybersecurity threats and vulnerabilities.
Perform risk assessments and develop security strategies.
Implement security measures to protect networks and data.
Stay updated with cybersecurity best practices and compliance standards.","['cybersecurity', 'security best practices', 'intermediate', 'threat detection']",3.2,12,Very High
CLFS_200,Computer Literacy for Seniors,Beginner,This beginner-level course is designed for seniors to learn computer literacy. Develop basic computer skills and navigate the digital world with confidence.,"Learn the basics of computer hardware and software.
Explore common computer applications and tools.
Develop essential computer skills for everyday tasks.
Become a confident and empowered digital user as a senior.","['computer literacy', 'beginner', 'senior citizens', 'digital skills', 'computer applications']",3.7,6,Low
CHB_66,Computer Hardware Basics,Beginner,"This beginner-level course covers computer hardware fundamentals. Learn about components, peripherals, and basic troubleshooting techniques.","Understand computer hardware components like CPU, RAM, and storage devices.
Learn about input and output peripherals, including keyboards and monitors.
Troubleshoot common hardware issues and perform basic upgrades.
Explore computer hardware terminology and specifications.","['computer hardware', 'beginner', 'hardware components', 'troubleshooting']",2.8,12,Very High
BWD_27,Back-End Web Development,Intermediate,"This intermediate-level course covers back-end web development. Learn server-side programming, API development, and database integration for building robust web applications.","Master server-side programming using languages like Python, Node.js, or Ruby.
Develop RESTful APIs for communication between front-end and back-end systems.
Integrate databases and perform CRUD operations on data.
Build scalable and secure web applications with back-end development skills.","['web development', 'back-end', 'intermediate', 'API development']",2.6,10,High
ATISER_145,Advanced Topics in Software Engineering Research,Advanced,This advanced-level course delves into advanced topics in software engineering research. Explore cutting-edge research areas and contribute to the field.,"Explore advanced topics in software engineering research.
Stay updated with cutting-edge research areas and trends.
Contribute to ongoing software engineering research projects.
Publish research findings and advance the field of software engineering.","['software engineering', 'research', 'advanced topics', 'cutting-edge research']",2.2,8,Medium
ARAA_140,Advanced Robotics and Automation,Advanced,"This advanced-level course explores advanced robotics and automation technologies. Learn about robot perception, control systems, and autonomous robots.","Master advanced robotics concepts and technologies.
Explore robot perception and sensor fusion techniques.
Understand advanced control systems for robotic applications.
Design and develop autonomous robots and robotic systems.","['robotics', 'automation', 'advanced', 'robot perception', 'autonomous robots']",2.8,9,Medium
BACG_181,Bioinformatics and Computational Genomics,Advanced,This advanced-level course focuses on bioinformatics and computational genomics. Learn to analyze biological data and genomics using computational tools.,"Master bioinformatics techniques for analyzing biological data.
Learn about genomics, structural biology, and computational tools.
Apply computational methods to biological research and analysis.
Contribute to advancements in bioinformatics and genomics research.","['bioinformatics', 'computational genomics', 'advanced', 'biological data analysis', 'genomics research']",2.2,10,High
ITGD_72,Introduction to Game Development,Beginner,"This beginner-level course provides an introduction to game development. Learn about game design, game engines, and creating simple games.","Understand the fundamentals of game design and game development.
Explore popular game engines like Unity and Godot.
Create simple 2D and 3D games with interactive gameplay.
Learn about the game development process from idea to playable game.","['game development', 'beginner', 'game design', 'game engines']",2.3,10,High
CBFB_3,Computer Basics for Beginners,Beginner,"This course is designed for individuals with little or no prior knowledge of computers. You will learn about computer hardware, software, operating systems, and basic computer usage.","Gain an understanding of computer hardware components and their functions.
Learn about different types of software and their applications.
Explore common operating systems and their features.
Acquire basic computer skills for tasks like file management and internet browsing.","['computer basics', 'beginner', 'computer hardware', 'software', 'operating systems']",3.1,12,Very High
CVADL_141,Computer Vision and Deep Learning,Advanced,"This advanced-level course focuses on computer vision and deep learning. Learn about image recognition, neural networks, and advanced vision applications.","Master computer vision techniques and deep learning models.
Learn about image recognition, object detection, and image segmentation.
Explore advanced vision applications in healthcare, robotics, and more.
Develop computer vision and deep learning projects.","['computer vision', 'deep learning', 'advanced', 'image recognition', 'neural networks']",3.4,8,Medium
ITCC_39,Introduction to Cloud Computing,Intermediate,"This intermediate-level course provides an introduction to cloud computing. Learn about cloud service models, deployment models, and cloud security.","Understand cloud computing fundamentals and its benefits.
Learn about cloud service models like IaaS, PaaS, and SaaS.
Explore cloud deployment models and cloud security measures.
Migrate applications to the cloud and manage cloud resources.","['cloud computing', 'intermediate', 'cloud service models', 'cloud security']",2.4,13,Very High
BDEAP_231,Big Data Ethics and Privacy,Advanced,This advanced-level course covers big data ethics and privacy. Learn to address ethical and privacy concerns in big data analytics.,"Master advanced big data ethics principles and privacy regulations.
Learn to implement privacy-preserving techniques in big data analytics.
Explore ethical considerations in data collection, storage, and analysis.
Contribute to responsible and ethical big data practices.","['big data ethics', 'privacy', 'advanced', 'data analytics', 'ethical considerations']",2.7,10,High
HC_50,High-Performance Computing,Advanced,"This advanced-level course focuses on high-performance computing (HPC). Learn about parallel processing, cluster computing, and GPU acceleration.","Explore parallel computing architectures and distributed computing.
Learn about GPU acceleration and CUDA programming.
Optimize algorithms and applications for high-performance computing.
Apply HPC techniques in scientific and engineering simulations.","['high-performance computing', 'advanced', 'parallel computing', 'GPU acceleration']",4.0,8,Medium
ACP_32,Advanced C++ Programming,Intermediate,"This intermediate-level course builds on C++ fundamentals. Explore advanced C++ features, including templates, exception handling, and memory management.","Master advanced C++ concepts like templates and exception handling.
Understand memory management and smart pointers in C++.
Explore C++ libraries and advanced topics like multithreading.
Develop efficient and robust C++ applications.","['C++', 'intermediate', 'advanced', 'templates', 'exception handling']",3.7,12,Very High
CGARM_217,Cybersecurity Governance and Risk Management,Intermediate,This intermediate-level course covers cybersecurity governance and risk management. Learn to establish and maintain cybersecurity policies.,"Understand cybersecurity governance principles and frameworks.
Learn to assess and manage cybersecurity risks.
Explore compliance and regulatory requirements.
Implement effective governance and risk management practices.","['cybersecurity governance', 'risk management', 'intermediate', 'cybersecurity policies', 'compliance']",2.4,7,Low
ATIMLE_186,Advanced Topics in Machine Learning Ethics,Advanced,This advanced-level course delves into advanced topics in machine learning ethics. Explore ethical considerations in AI and machine learning.,"Master advanced topics in machine learning ethics.
Learn to analyze and address ethical challenges in AI and machine learning.
Explore fairness, transparency, and accountability in AI models.
Contribute to ethical AI development and responsible AI research.","['machine learning ethics', 'advanced', 'ethical challenges', 'fairness', 'accountability']",2.8,8,Medium
ISFP_194,Internet Safety for Parents,Beginner,This beginner-level course is designed for parents to learn about internet safety. Ensure your child's online safety and digital well-being.,"Understand the online risks and challenges children may face.
Learn to set up parental controls and monitor online activities.
Explore safe internet usage guidelines for kids.
Promote a secure and responsible online environment for your family.","['internet safety', 'parents', 'beginner', 'online risks', 'parental controls']",3.5,10,High
ITRP_201,Introduction to Robotics Programming,Beginner,This beginner-level course introduces robotics programming. Learn the fundamentals of coding and controlling robots.,"Understand the basics of robotics and programming.
Learn to code and control robots for various tasks.
Explore robotics programming languages and platforms.
Embark on your journey into the exciting world of robotics.","['robotics programming', 'beginner', 'robotics fundamentals', 'coding for robots']",2.8,10,High
CNDP_164,Cloud Native DevOps Practices,Intermediate,This intermediate-level course covers cloud-native DevOps practices. Learn to deploy and manage applications in cloud-native environments.,"Understand cloud-native architecture and its benefits.
Learn DevOps practices for deploying and managing applications in the cloud.
Explore containerization and orchestration tools like Docker and Kubernetes.
Implement CI/CD pipelines for automated application deployment.","['cloud-native', 'DevOps', 'intermediate', 'containerization', 'CI/CD']",2.4,7,Low
CVAIP_43,Computer Vision and Image Processing,Advanced,"This advanced-level course focuses on computer vision and image processing. Learn about image recognition, feature extraction, and computer vision applications.","Master image processing techniques like image filtering and segmentation.
Learn about feature extraction and object recognition in images.
Explore computer vision applications in autonomous vehicles and healthcare.
Develop computer vision projects and applications.","['computer vision', 'image processing', 'advanced', 'image recognition', 'feature extraction']",2.6,7,Low
ITCS_70,Introduction to Cloud Services,Beginner,"This beginner-level course provides an introduction to cloud services. Learn about cloud computing models, cloud providers, and cloud-based applications.","Understand the basics of cloud computing and its advantages.
Learn about cloud service models like Infrastructure as a Service (IaaS) and Software as a Service (SaaS).
Explore popular cloud providers and their offerings.
Get hands-on experience with cloud-based applications.","['cloud services', 'beginner', 'cloud computing models', 'IaaS', 'SaaS']",1.9,7,Low
BOMAD_196,Basics of Mobile App Design,Beginner,This beginner-level course covers the basics of mobile app design. Learn to create user-friendly and visually appealing mobile app interfaces.,"Understand the principles of mobile app design.
Learn about user interface (UI) and user experience (UX) design.
Explore mobile app design tools and best practices.
Design a basic mobile app interface for improved user engagement.","['mobile app design', 'beginner', 'UI/UX design', 'app interface', 'user engagement']",2.5,15,Very High
CPWS_192,Computer Programming with Scratch,Beginner,This beginner-level course introduces computer programming using Scratch. Learn the fundamentals of coding through visual programming.,"Learn the basics of computer programming concepts.
Explore visual programming with Scratch.
Create interactive animations and games using Scratch.
Build coding skills for beginners with hands-on projects.","['computer programming', 'beginner', 'Scratch', 'visual programming', 'coding for kids']",3.9,12,Very High
CFSB_193,Cybersecurity for Small Businesses,Beginner,This beginner-level course focuses on cybersecurity for small businesses. Learn to protect your business from online threats and attacks.,"Understand the importance of cybersecurity for small businesses.
Learn to identify and mitigate common cyber threats.
Explore best practices for securing business data and networks.
Implement cybersecurity measures for your small business.","['cybersecurity', 'small businesses', 'beginner', 'cyber threats', 'business data security']",3.1,12,Very High
ANS_46,Advanced Network Security,Advanced,"This advanced-level course focuses on advanced network security. Learn about intrusion detection systems, secure network design, and security protocols.","Master intrusion detection and prevention techniques.
Design and implement secure network architectures.
Explore advanced security protocols and encryption methods.
Analyze network traffic for security threats and anomalies.","['network security', 'advanced', 'intrusion detection', 'security protocols']",2.6,14,Very High
PWS_73,Programming with Scratch,Beginner,"This beginner-level course teaches programming concepts using Scratch, a visual programming language. Learn coding basics through interactive projects.","Get started with coding using the Scratch visual programming language.
Learn programming concepts like loops, conditionals, and variables.
Create interactive stories, animations, and games in Scratch.
Develop computational thinking and problem-solving skills.","['programming', 'beginner', 'Scratch', 'visual programming']",3.0,8,Medium
DLFB_109,Digital Literacy for Beginners,Beginner,"This beginner-level course focuses on digital literacy basics. Learn about internet safety, online communication, and digital tools for everyday life.","Understand the importance of digital literacy in the modern world.
Learn about internet safety, online etiquette, and privacy.
Explore digital tools for communication, productivity, and information.
Build digital skills for daily life and online interactions.","['digital literacy', 'beginner', 'internet safety', 'online communication']",3.4,12,Very High
AWDAUE_205,Advanced Web Design and User Experience ,Intermediate,This intermediate-level course covers advanced web design and user experience (UX) principles. Enhance your web design skills.,"Master advanced web design techniques and principles.
Learn to create user-centered web interfaces.
Explore advanced UX design methodologies.
Design and prototype responsive and engaging web experiences.","['web design', 'UX', 'intermediate', 'responsive design', 'user-centered design']",2.9,10,High
NFB_11,Networking for Beginners,Beginner,"This beginner-level course covers the basics of computer networking. You will learn about network components, protocols, and how data is transmitted over networks.","Understand the key components of computer networks, including routers, switches, and cables.
Learn about network protocols and their role in data transmission.
Explore the fundamentals of IP addressing and subnetting.
Gain knowledge about network security and troubleshooting.","['networking', 'beginner', 'network protocols', 'IP addressing', 'network security']",2.6,8,Medium
HID_172,Human-AI Interaction Design,Intermediate,This intermediate-level course focuses on human-AI interaction design. Learn to create intuitive and user-friendly AI-driven interfaces and experiences.,"Understand the principles of human-AI interaction design.
Learn to design user-friendly AI-driven interfaces and applications.
Explore AI ethics and responsible AI design.
Design and prototype AI-powered user interfaces.","['human-AI interaction', 'interaction design', 'intermediate', 'user-friendly design', 'AI ethics']",2.5,13,Very High
ATICSR_60,Advanced Topics in Computer Science Research,Advanced,This advanced-level course explores cutting-edge topics in computer science research. Learn about emerging technologies and research trends.,"Explore cutting-edge topics in computer science research.
Learn about emerging technologies like quantum computing and AI advancements.
Understand research methodologies and scholarly writing in computer science.
Contribute to ongoing research projects.","['computer science', 'research', 'advanced', 'emerging technologies', 'research methodologies']",3.1,13,Very High
RAAS_56,Robotics and Autonomous Systems,Advanced,"This advanced-level course focuses on robotics and autonomous systems. Learn about robot kinematics, control systems, and autonomous navigation.","Explore robot kinematics and dynamics for robotic arm control.
Learn about control systems and sensors in robotics.
Understand autonomous navigation and path planning algorithms.
Develop autonomous robotic systems for various applications.","['robotics', 'autonomous systems', 'advanced', 'kinematics', 'control systems']",3.4,11,High
BOOS_18,Basics of Operating Systems,Beginner,"This beginner-level course covers the basics of operating systems, including their functions, components, and management.","Understand the role of operating systems in managing computer hardware.
Learn about key components of operating systems, such as file systems and memory management.
Explore process management and multitasking in operating systems.
Gain insights into operating system security and maintenance.","['operating systems', 'beginner', 'file systems', 'memory management', 'security']",2.3,3,Low
ITVRD_75,Introduction to Virtual Reality  Development,Beginner,"This beginner-level course introduces virtual reality (VR) development. Learn about VR hardware, 3D modeling, and creating VR experiences.","Understand the basics of virtual reality (VR) and its applications.
Explore VR hardware and devices like VR headsets.
Learn 3D modeling for creating VR environments and objects.
Create immersive VR experiences and applications.","['virtual reality', 'beginner', 'VR hardware', '3D modeling']",2.4,9,Medium
ITD_13,Introduction to Databases,Beginner,"This beginner-level course introduces the fundamentals of databases. You will learn about data modeling, SQL queries, and database management systems.","Understand the importance of databases in data storage and retrieval.
Learn about data modeling techniques and database design principles.
Write SQL queries to retrieve and manipulate data in databases.
Explore different database management systems and their features.","['databases', 'beginner', 'data modeling', 'SQL queries', 'database management']",3.1,15,Very High
CRA_162,Cybersecurity Risk Assessment,Intermediate,"This intermediate-level course covers cybersecurity risk assessment. Learn to identify, assess, and mitigate security risks in various contexts.","Understand the principles of cybersecurity risk assessment.
Learn to identify and analyze security threats and vulnerabilities.
Explore risk mitigation strategies and security controls.
Conduct practical risk assessments in real-world scenarios.","['cybersecurity', 'risk assessment', 'intermediate', 'security threats', 'risk mitigation']",3.5,11,High
QC_51,Quantum Computing,Advanced,"This advanced-level course covers quantum computing. Learn about quantum algorithms, quantum gates, and quantum hardware.","Explore quantum computing principles and quantum bits (qubits).
Learn about quantum algorithms like Shor's algorithm and Grover's algorithm.
Understand quantum gates and quantum circuit design.
Experiment with quantum computing using simulators and real quantum hardware.","['quantum computing', 'advanced', 'quantum algorithms', 'quantum gates']",3.0,11,High
ITCFK_153,Introduction to Cybersecurity for Kids,Beginner,"This beginner-level course introduces cybersecurity concepts to kids. Learn about online safety, cyber threats, and safe internet practices.","Understand the importance of online safety and cybersecurity.
Learn about common cyber threats and how to protect against them.
Explore safe internet practices and responsible online behavior.
Develop foundational knowledge of cybersecurity for a safe digital experience.","['cybersecurity', 'beginner', 'online safety', 'cyber threats', 'safe internet']",2.5,11,High
CSAS_110,Computer Science and Society,Beginner,"This beginner-level course explores the impact of computer science on society. Learn about ethical considerations, digital citizenship, and societal challenges.","Understand the role of computer science in shaping modern society.
Explore ethical issues related to technology and data privacy.
Learn about digital citizenship and responsible technology use.
Discuss societal challenges and opportunities in the digital age.","['computer science', 'beginner', 'ethics', 'digital citizenship']",1.8,6,Low
ADMAA_209,Advanced Data Mining and Analytics,Intermediate,This intermediate-level course focuses on advanced data mining and analytics. Learn to extract valuable insights from large datasets.,"Master advanced data mining techniques and algorithms.
Learn to analyze and interpret complex data patterns.
Explore predictive analytics and machine learning for data-driven insights.
Apply advanced data mining skills to real-world analytics projects.","['data mining', 'analytics', 'intermediate', 'machine learning', 'predictive analytics']",3.1,7,Low
AMAA_168,Advanced Mobile App Architecture,Intermediate,This intermediate-level course covers advanced mobile app architecture. Learn to design and build scalable and maintainable mobile applications.,"Master advanced mobile app architecture patterns and principles.
Learn to design scalable and maintainable mobile applications.
Explore architectural best practices for mobile app development.
Build advanced mobile apps with a focus on performance and reliability.","['mobile app architecture', 'intermediate', 'scalability', 'maintainability', 'performance']",3.6,8,Medium
ITAR_155,Introduction to Augmented Reality ,Beginner,"This beginner-level course introduces augmented reality (AR) technology. Learn about AR applications, development, and creating interactive AR experiences.","Understand the basics of augmented reality (AR) technology.
Learn about AR applications and its potential uses.
Explore AR development and tools for creating AR experiences.
Create interactive AR projects and applications.","['augmented reality', 'beginner', 'AR applications', 'AR development', 'interactive experiences']",2.4,7,Low
CABA_99,Cryptocurrency and Blockchain Applications,Advanced,"This advanced-level course covers cryptocurrency and blockchain applications. Learn about blockchain technology, cryptocurrencies, and decentralized applications (DApps).","Understand the fundamentals of blockchain technology and its applications.
Learn about cryptocurrencies, smart contracts, and tokenomics.
Develop decentralized applications (DApps) on blockchain platforms.
Explore real-world use cases of blockchain in finance, supply chain, and more.","['cryptocurrency', 'blockchain', 'advanced', 'smart contracts', 'DApps']",3.5,19,Very High
WADF_80,Web Application Development Frameworks,Intermediate,This intermediate-level course covers web application development frameworks. Learn about popular frameworks for building robust web applications.,"Explore web application frameworks like Ruby on Rails and Angular.
Learn to build RESTful APIs and single-page applications (SPAs).
Develop full-stack web applications using modern frameworks.
Collaborate on web development projects with best practices.","['web application development', 'intermediate', 'Ruby on Rails', 'Angular', 'RESTful APIs']",2.4,10,High
MLADL_35,Machine Learning and Deep Learning,Intermediate,"This intermediate-level course explores machine learning and deep learning techniques. Learn about neural networks, deep learning frameworks, and model training.","Understand machine learning algorithms and techniques.
Explore neural networks and deep learning frameworks like TensorFlow and PyTorch.
Train machine learning and deep learning models for various tasks.
Apply machine learning and deep learning in real-world projects.","['machine learning', 'deep learning', 'intermediate', 'neural networks', 'model training']",3.2,5,Low
DAWP_77,Data Analysis with Python,Intermediate,"This intermediate-level course focuses on data analysis with Python. Learn about data manipulation, visualization, and statistical analysis.","Master data manipulation with Python libraries like pandas.
Create data visualizations using tools like Matplotlib and Seaborn.
Perform statistical analysis and hypothesis testing on data.
Work with real-world datasets to gain data analysis skills.","['data analysis', 'Python', 'intermediate', 'data manipulation', 'data visualization']",2.6,7,Low
ACVAOR_222,Advanced Computer Vision and Object Recognition,Advanced,This advanced-level course covers advanced computer vision and object recognition. Learn to develop AI systems for visual perception.,"Master advanced computer vision techniques and deep learning models.
Learn to build AI systems for object detection and recognition.
Explore image segmentation, tracking, and visual scene understanding.
Contribute to the field of advanced computer vision and AI.","['computer vision', 'object recognition', 'advanced', 'deep learning', 'image segmentation']",3.0,12,Very High
ITUED_71,Introduction to User Experience  Design,Beginner,"This beginner-level course introduces the fundamentals of User Experience (UX) design. Learn about user research, prototyping, and usability testing.","Understand the importance of user-centered design in product development.
Conduct user research to gather insights and requirements.
Create interactive prototypes and design user interfaces.
Perform usability testing to improve product usability.","['UX design', 'beginner', 'user research', 'prototyping']",3.1,9,Medium
SSDP_206,Secure Software Development Principles,Intermediate,This intermediate-level course focuses on secure software development principles. Learn to code with security in mind.,"Understand the importance of secure software development.
Learn secure coding practices and techniques.
Explore threat modeling and vulnerability assessment.
Develop secure software applications and protect against cyber threats.","['secure software development', 'intermediate', 'secure coding', 'threat modeling', 'cyber threats']",2.5,11,High
SDWR_88,Software Development with React,Intermediate,"This intermediate-level course focuses on software development with React, a popular JavaScript library for building user interfaces.","Master React concepts and component-based development.
Build interactive and dynamic web applications using React.
Learn about state management with Redux and React Router for routing.
Develop modern web applications with React and associated tools.","['React', 'intermediate', 'component-based development', 'state management']",3.5,12,Very High
CSFAB_114,Computer Science for Absolute Beginners,Beginner,"This course is designed for absolute beginners in computer science. Learn the very basics of programming, algorithms, and computer hardware.","Get started with the absolute basics of computer science.
Learn introductory programming concepts using a beginner-friendly language.
Understand fundamental algorithms and problem-solving techniques.
Explore the basics of computer hardware and how it works.","['computer science', 'beginner', 'programming basics', 'algorithms', 'computer hardware']",3.1,12,Very High
NLP_44,Natural Language Processing,Advanced,"This advanced-level course covers natural language processing (NLP). Learn about text analysis, sentiment analysis, and machine translation.","Explore text analysis techniques for NLP tasks.
Learn about sentiment analysis and opinion mining.
Understand machine translation and language generation in NLP.
Develop NLP applications for chatbots and language processing tasks.","['natural language processing', 'advanced', 'text analysis', 'sentiment analysis']",2.3,10,High
DCFB_157,Digital Citizenship for Beginners,Beginner,"This beginner-level course focuses on digital citizenship. Learn about responsible online behavior, ethical internet use, and digital rights.","Understand the principles of digital citizenship.
Learn about responsible online behavior and digital ethics.
Explore digital rights and responsibilities.
Develop good practices for a positive digital presence.","['digital citizenship', 'beginner', 'online behavior', 'digital ethics', 'internet use']",2.4,15,Very High
CDAO_57,Compiler Design and Optimization,Advanced,"This advanced-level course covers compiler design and optimization. Learn about lexical analysis, parsing, code generation, and optimization techniques.","Explore lexical analysis and parsing techniques for language processing.
Learn about intermediate code generation and code optimization.
Understand compiler frontends and backends.
Develop a complete compiler for a programming language.","['compiler design', 'optimization', 'advanced', 'lexical analysis', 'code generation']",3.0,11,High
BDAFB_96,Big Data Analytics for Business,Advanced,"This advanced-level course focuses on big data analytics for business. Learn about data-driven decision-making, predictive analytics, and business intelligence.","Apply big data analytics to make data-driven business decisions.
Learn about predictive analytics and machine learning for business applications.
Develop business intelligence dashboards for reporting and visualization.
Analyze large-scale data sets for strategic insights.","['big data analytics', 'advanced', 'business analytics', 'predictive analytics']",3.1,11,High
CAD_54,Cloud-Native Application Development,Advanced,"This advanced-level course focuses on cloud-native application development. Learn about containerization, Kubernetes, and microservices architecture.","Explore containerization technologies like Docker and container orchestration with Kubernetes.
Learn about microservices architecture and cloud-native design principles.
Develop cloud-native applications and deploy them in cloud environments.
Manage and scale cloud-native applications with modern DevOps practices.","['cloud-native development', 'advanced', 'containerization', 'Kubernetes']",3.0,14,Very High
PFB_5,Python for Beginners,Beginner,"This course is an introduction to the Python programming language. You will learn Python syntax, data structures, and how to write simple programs.","Familiarize yourself with Python syntax, including variables, loops, and conditionals.
Learn about common data structures in Python, such as lists and dictionaries.
Write Python programs to solve basic problems and tasks.
Understand how Python can be used in various applications, including web development and data analysis.","['Python', 'beginner', 'programming', 'data structures']",2.4,13,Very High
ITCA_101,Introduction to Cybersecurity Awareness,Beginner,"This beginner-level course introduces the basics of cybersecurity awareness. Learn about common threats, online safety, and best practices for staying secure.","Understand the importance of cybersecurity in the digital world.
Learn about common cyber threats and how to protect yourself online.
Practice good online safety habits and recognize phishing attempts.
Implement best practices for password security and data protection.","['cybersecurity', 'beginner', 'cyber threats', 'online safety']",2.9,11,High
NA_30,Network Administration,Intermediate,"This intermediate-level course covers network administration. Learn about network configuration, maintenance, and troubleshooting in a corporate environment.","Configure and manage network devices, including routers and switches.
Monitor network performance and troubleshoot connectivity issues.
Implement security measures to protect corporate networks.
Manage user access and permissions in a networked environment.","['network administration', 'intermediate', 'network configuration', 'troubleshooting']",3.3,7,Low
HCCAG_138,High-Performance Computing Clusters and Grids,Advanced,This advanced-level course explores high-performance computing clusters and grid computing. Learn to design and manage high-performance computing environments.,"Master the principles of high-performance computing clusters and grids.
Design and deploy high-performance computing environments.
Optimize cluster and grid performance for scientific and research applications.
Manage and troubleshoot complex computing clusters.","['high-performance computing', 'advanced', 'cluster computing', 'grid computing']",3.9,12,Very High
JB_9,JavaScript Basics,Beginner,"This beginner-level course introduces JavaScript, a popular programming language used for web development. You will learn the basics of JavaScript syntax and its usage in web development.","Familiarize yourself with JavaScript syntax, variables, and data types.
Learn how to use JavaScript to manipulate web page elements and respond to user interactions.
Write JavaScript code to create interactive web applications.
Explore the role of JavaScript in modern web development.","['JavaScript', 'web development', 'beginner', 'programming']",2.9,12,Very High
ADVWT_163,Advanced Data Visualization with Tableau,Intermediate,This intermediate-level course explores advanced data visualization techniques using Tableau. Learn to create interactive and informative data dashboards.,"Master advanced data visualization techniques with Tableau.
Learn to design and create interactive data dashboards.
Explore data storytelling and visualization best practices.
Communicate insights effectively through data visualizations.","['data visualization', 'intermediate', 'Tableau', 'data dashboards', 'data storytelling']",3.1,16,Very High
